Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,OPPONENT
1610612761,0022400580,"JAN 17, 2025",TOR @ MIL,L,10,32,0.238,240,43,91,0.473,8,34,0.235,18,24,0.75,13,30,43,31,6,4,12,28,112,TOR,MIL
1610612761,0022400562,"JAN 15, 2025",TOR vs. BOS,W,10,31,0.244,240,45,89,0.506,11,34,0.324,9,15,0.6,13,43,56,35,4,4,10,19,110,TOR,BOS
1610612761,0022400550,"JAN 13, 2025",TOR vs. GSW,W,9,31,0.225,240,41,86,0.477,12,29,0.414,10,15,0.667,14,30,44,28,3,9,14,18,104,TOR,GSW
1610612761,0022400534,"JAN 11, 2025",TOR @ DET,L,8,31,0.205,240,40,92,0.435,16,38,0.421,18,27,0.667,15,30,45,27,12,3,12,21,114,TOR,DET
1610612761,0022400517,"JAN 09, 2025",TOR @ CLE,L,8,30,0.211,240,53,89,0.596,14,31,0.452,6,13,0.462,9,28,37,34,9,2,12,17,126,TOR,CLE
1610612761,0022400511,"JAN 08, 2025",TOR @ NYK,L,8,29,0.216,240,38,77,0.494,10,26,0.385,12,15,0.8,8,25,33,25,9,6,16,15,98,TOR,NYK
1610612761,0022400497,"JAN 06, 2025",TOR vs. MIL,L,8,28,0.222,240,41,91,0.451,9,35,0.257,13,21,0.619,10,25,35,27,11,4,15,15,104,TOR,MIL
1610612761,0022400470,"JAN 03, 2025",TOR vs. ORL,L,8,27,0.229,240,38,80,0.475,10,29,0.345,11,13,0.846,7,30,37,28,6,1,11,11,97,TOR,ORL
1610612761,0022400459,"JAN 01, 2025",TOR vs. BKN,W,8,26,0.235,240,52,88,0.591,16,32,0.5,10,13,0.769,8,31,39,36,8,6,10,20,130,TOR,BKN
1610612761,0022400449,"DEC 31, 2024",TOR @ BOS,L,7,26,0.212,240,27,86,0.314,10,40,0.25,7,11,0.636,14,30,44,18,8,4,21,16,71,TOR,BOS
1610612761,0022400438,"DEC 29, 2024",TOR vs. ATL,L,7,25,0.219,240,38,85,0.447,7,24,0.292,24,27,0.889,15,37,52,26,10,4,31,26,107,TOR,ATL
1610612761,0022400414,"DEC 26, 2024",TOR @ MEM,L,7,24,0.226,240,49,108,0.454,14,43,0.326,14,18,0.778,13,27,40,39,8,3,15,23,126,TOR,MEM
1610612761,0022400397,"DEC 23, 2024",TOR @ NYK,L,7,23,0.233,240,42,77,0.545,11,28,0.393,30,37,0.811,4,26,30,28,6,3,15,25,125,TOR,NYK
1610612761,0022400388,"DEC 22, 2024",TOR vs. HOU,L,7,22,0.241,240,42,92,0.457,17,43,0.395,9,13,0.692,11,31,42,33,10,3,21,25,110,TOR,HOU
1610612761,0022400364,"DEC 19, 2024",TOR vs. BKN,L,7,21,0.25,240,34,86,0.395,15,44,0.341,11,14,0.786,10,24,34,26,6,4,12,29,94,TOR,BKN
1610612761,0022401223,"DEC 16, 2024",TOR vs. CHI,L,7,20,0.259,240,45,92,0.489,9,26,0.346,22,30,0.733,10,34,44,28,7,6,18,21,121,TOR,CHI
1610612761,0022401206,"DEC 12, 2024",TOR @ MIA,L,7,19,0.269,240,41,92,0.446,11,32,0.344,11,15,0.733,9,33,42,29,8,5,11,24,104,TOR,MIA
1610612761,0022400359,"DEC 09, 2024",TOR vs. NYK,L,7,18,0.28,240,43,96,0.448,13,35,0.371,9,11,0.818,17,34,51,23,4,4,12,16,108,TOR,NYK
1610612761,0022400344,"DEC 07, 2024",TOR vs. DAL,L,7,17,0.292,240,43,93,0.462,15,39,0.385,17,18,0.944,8,31,39,37,13,3,13,22,118,TOR,DAL
1610612761,0022400328,"DEC 05, 2024",TOR vs. OKC,L,7,16,0.304,240,32,90,0.356,11,45,0.244,17,20,0.85,12,39,51,24,5,7,20,16,92,TOR,OKC
1610612761,0022400054,"DEC 03, 2024",TOR vs. IND,W,7,15,0.318,240,44,81,0.543,13,33,0.394,21,29,0.724,6,36,42,28,9,4,21,26,122,TOR,IND
1610612761,0022400309,"DEC 01, 2024",TOR vs. MIA,W,6,15,0.286,240,47,88,0.534,10,29,0.345,15,20,0.75,10,37,47,30,4,5,14,23,119,TOR,MIA
1610612761,0022400046,"NOV 29, 2024",TOR @ MIA,L,5,15,0.25,240,43,80,0.538,11,29,0.379,14,17,0.824,10,36,46,34,4,3,18,17,111,TOR,MIA
1610612761,0022400295,"NOV 27, 2024",TOR @ NOP,W,5,14,0.263,240,47,95,0.495,21,52,0.404,4,12,0.333,12,40,52,38,11,4,15,16,119,TOR,NOP
1610612761,0022400278,"NOV 25, 2024",TOR @ DET,L,4,14,0.222,240,41,104,0.394,10,35,0.286,8,10,0.8,23,27,50,26,7,5,9,27,100,TOR,DET
1610612761,0022400275,"NOV 24, 2024",TOR @ CLE,L,4,13,0.235,240,37,92,0.402,12,39,0.308,22,34,0.647,19,36,55,22,9,5,14,18,108,TOR,CLE
1610612761,0022400261,"NOV 21, 2024",TOR vs. MIN,W,4,12,0.25,240,37,72,0.514,7,23,0.304,29,39,0.744,10,33,43,22,11,1,17,24,110,TOR,MIN
